lastUpdated,title,url
" This page was last edited on 22 October 2022, at 02:38",,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 28 October 2022, at 18:08",,https://en.wikipedia.org/wiki/Holly_Near
" This page was last edited on 12 June 2022, at 14:34",,https://en.wikipedia.org/wiki/Kevin_Bacon_(disambiguation)
" This page was last edited on 22 October 2022, at 22:28", (1984 film),https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 26 October 2022, at 13:43",,https://en.wikipedia.org/wiki/Kevin_Bacon_filmography
" This page was last edited on 31 October 2022, at 12:36",,https://en.wikipedia.org/wiki/Sosie_Bacon
" This page was last edited on 29 October 2022, at 12:47",,https://en.wikipedia.org/wiki/Kyra_Sedgwick
" This page was last edited on 18 June 2022, at 04:39",,https://en.wikipedia.org/wiki/Edmund_Bacon_(architect)
" This page was last edited on 22 October 2022, at 21:38",,https://en.wikipedia.org/wiki/Michael_Bacon_(musician)
" This page was last edited on 10 October 2022, at 13:39", (film),https://en.wikipedia.org/wiki/JFK_(film)
" This page was last edited on 18 October 2022, at 23:35",[<Selector xpath='//h1/i/text()' data='A Few Good Men'>],https://en.wikipedia.org/wiki/A_Few_Good_Men
" This page was last edited on 27 October 2022, at 12:27", (film),https://en.wikipedia.org/wiki/Mystic_River_(film)
" This page was last edited on 2 November 2022, at 19:09", (film),https://en.wikipedia.org/wiki/Balto_(film)
" This page was last edited on 19 October 2022, at 10:32",[<Selector xpath='//h1/i/text()' data='Sleepers'>],https://en.wikipedia.org/wiki/Sleepers
" This page was last edited on 30 October 2022, at 01:08", (film),https://en.wikipedia.org/wiki/Apollo_13_(film)
" This page was last edited on 2 November 2022, at 05:41",,https://en.wikipedia.org/wiki/Philadelphia
" This page was last edited on 25 June 2021, at 19:17",,https://en.wikipedia.org/wiki/SUDOC_(identifier)
" This page was last edited on 27 January 2022, at 02:50",,https://en.wikipedia.org/wiki/RERO_(identifier)
" This page was last edited on 5 October 2022, at 19:27",,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 27 June 2022, at 04:28",,https://en.wikipedia.org/wiki/Trove_(identifier)
" This page was last edited on 29 October 2022, at 03:46",,https://en.wikipedia.org/wiki/Jack_Nicholson
" This page was last edited on 18 October 2022, at 04:00",,https://en.wikipedia.org/wiki/MBA_(identifier)
" This page was last edited on 27 October 2022, at 03:28",,https://en.wikipedia.org/wiki/Barack_Obama
